BUS UID,Fuel,GEN UID,Plant Code,Unit Type,CO2 Emissions Lbs/MWh
160259_1,NG (Natural Gas),55313_NaturalGasFiredCombinedCycle_CTG2,55313,Natural Gas Fired Combined Cycle,1046.5869493861100
190177_1,WND (Wind),60270_OnshoreWindTurbine_WT1,60270,Onshore Wind Turbine,0.0
270221_1,NG (Natural Gas),55153_NaturalGasFiredCombinedCycle_CTG3,55153,Natural Gas Fired Combined Cycle,831.1875798072930
270219_1,NG (Natural Gas),55153_NaturalGasFiredCombinedCycle_CTG1,55153,Natural Gas Fired Combined Cycle,831.1875798072930
111347_1,NG (Natural Gas),55464_NaturalGasFiredCombinedCycle_STG1,55464,Natural Gas Fired Combined Cycle,1227.253239819680
250365_1,NG (Natural Gas),55132_NaturalGasFiredCombinedCycle_GTG3,55132,Natural Gas Fired Combined Cycle,867.4615122184950
250363_1,NG (Natural Gas),55132_NaturalGasFiredCombinedCycle_GTG1,55132,Natural Gas Fired Combined Cycle,867.4615122184950
150481_1,NG (Natural Gas),55230_NaturalGasFiredCombinedCycle_ST1,55230,Natural Gas Fired Combined Cycle,863.9534000626590
200172_1,NG (Natural Gas),55545_NaturalGasFiredCombinedCycle_STG1,55545,Natural Gas Fired Combined Cycle,872.2444669314220
130364_1,NG (Natural Gas),55480_NaturalGasFiredCombinedCycle_U4,55480,Natural Gas Fired Combined Cycle,852.6020305821020
220195_1,WND (Wind),57415_OnshoreWindTurbine_1,57415,Onshore Wind Turbine,0.0
150478_1,NG (Natural Gas),55139_NaturalGasFiredCombinedCycle_CTG2,55139,Natural Gas Fired Combined Cycle,895.2716193969870
